Date, Open, High, Low, Close, Adj, Volume 
11/19/2021,987,987,971,975,975,186160
11/18/2021,976.5,987.5,970.5,975,975,264690
11/17/2021,990,991.5,975,975,975,207130
11/16/2021,990,998,982.5,998,998,198880
11/15/2021,989.5,996,975,990,990,103840
12/11/2021,975,995,975,990,990,170110
11/11/2021,975,981,975,979,979,216660
11/10/2021,990,993,971,975,975,264070
11/09/2021,980,991,980,984,984,309280
11/08/2021,998,998,973,974.5,974.5,483200
11/05/2021,995,1001,980,998,998,119190
11/04/2021,1002,1002,976,990,990,227140
11/03/2021,990,1005,990,998,998,114905
11/02/2021,976,1005,975,1005,1005,312910
10/29/2021,993,993,961,965,965,520640
10/28/2021,993,1007,980,992,992,155840
